Question #,Question,Type,Option 1,Option 2,Required
72,Hemen hemen her gün mide ağrılarından rahatsız olurum,Multiple choice,Evet,Hayır,TRUE
73,Ben önemli bir kimseyim,Multiple choice,Evet,Hayır,TRUE
74,Çoğu zaman kız olmayı isterdim (Şayet kız iseniz:) Kız olduğuma hiç üzülmedim,Multiple choice,Evet,Hayır,TRUE
75,Ara sıra öfkelenirim,Multiple choice,Evet,Hayır,TRUE
76,Çoğu zaman kendimi hüzünlü hissederim,Multiple choice,Evet,Hayır,TRUE
77,Aşk romanları okumaktan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
78,Şiiri severim,Multiple choice,Evet,Hayır,TRUE
79,Kolay incinmem,Multiple choice,Evet,Hayır,TRUE
80,Bazen hayvanlara rahat vermem,Multiple choice,Evet,Hayır,TRUE
81,Orman bekçiliği gibi işlerden hoşlanacağımı sanıyorum,Multiple choice,Evet,Hayır,TRUE
82,Tartışmalarda çabucak yenilirim,Multiple choice,Evet,Hayır,TRUE
83,Çok çalışabilen ya da çalışmak isteyen kişinin başarılı olma şansı yüksektir,Multiple choice,Evet,Hayır,TRUE
84,Bugünlerde artık hiç ilerleme umudum kalmamış gibi hissediyorum,Multiple choice,Evet,Hayır,TRUE
85,"Kullanmayacak bile olsam bazen başkalarının ayakkabı, eldiven gibi özel eşyaları o kadar hoşuma gider ki dokunmak ve aşırmak isterim",Multiple choice,Evet,Hayır,TRUE
86,Kendime hiç güvenim yoktur,Multiple choice,Evet,Hayır,TRUE
87,Çiçek satıcısı olmayı isterdim,Multiple choice,Evet,Hayır,TRUE
88,Genel olarak hayatın yaşanmaya değer olduğu kanısındayım,Multiple choice,Evet,Hayır,TRUE
89,İnsanlara gerçeği kabul ettirmek güçtür,Multiple choice,Evet,Hayır,TRUE
90,Bugün yapmam gereken işleri ara sıra yarına bıraktığım olur,Multiple choice,Evet,Hayır,TRUE
91,Benimle alay edilmesine aldırmam,Multiple choice,Evet,Hayır,TRUE
92,Hemşire olmayı isterdim,Multiple choice,Evet,Hayır,TRUE
93,Yükselmek için bir çok kimse yalan söylemekten çekinmez,Multiple choice,Evet,Hayır,TRUE
94,Sonradan pişman olacağım pek çok şeyi yaptığım olur 4,Multiple choice,Evet,Hayır,TRUE
95,Namazımı hemen hemen muntazaman kılarım,Multiple choice,Evet,Hayır,TRUE
96,Ailemle pek az kavga ederim,Multiple choice,Evet,Hayır,TRUE
97,Bazen zararlı yada çok kötü işler yapmam için içimde çok güçlü bir istek duyarım,Multiple choice,Evet,Hayır,TRUE
98,Kıyamet gününe inanıyorum,Multiple choice,Evet,Hayır,TRUE
99,Gürültülü eğlencelere katılmaktan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
100,Bildiğim bir konuda bir kimse saçma sapan ya da cahilce konuşursa onu hemen düzeltirim,Multiple choice,Evet,Hayır,TRUE
101,"Bence cinsel yönden kadınlar da erkekler kadar serbest olmalıdır,",Multiple choice,Evet,Hayır,TRUE
102,En büyük mücadelemi kendimle yaparım,Multiple choice,Evet,Hayır,TRUE
103,Vücudumda pek az seğirme ve kasılma olur,Multiple choice,Evet,Hayır,TRUE
104,Başıma ne gelirse gelsin aldırış etmiyorum,Multiple choice,Evet,Hayır,TRUE
105,Keyfim yerinde olmadığı zaman tersliğim üzerimdedir,Multiple choice,Evet,Hayır,TRUE
106,Çoğu zaman büyük bir hata ya da kötülük yaptığım korkusuna kapılırım,Multiple choice,Evet,Hayır,TRUE
107,Çoğu zaman mutluyumdur,Multiple choice,Evet,Hayır,TRUE
108,Çoğu zaman bana kafam şişmiş ya da burnum tıkanmış gibi gelir,Multiple choice,Evet,Hayır,TRUE
109,Bazı kimseler o kadar amirane davranırlar ki haklı bile olsalar içimden dediklerinin aksini yapmak gelir,Multiple choice,Evet,Hayır,TRUE
110,Bana kötülük etmek isteyen biri var,Multiple choice,Evet,Hayır,TRUE
111,Sırf heyecanlanmak için tehlikeli bir işe girişmedim,Multiple choice,Evet,Hayır,TRUE
112,Doğru bildiğim şeyler için çoğu zaman direnmek zorunda kalırım,Multiple choice,Evet,Hayır,TRUE
113,Kanunların uygulanması gerektiğine inanırım,Multiple choice,Evet,Hayır,TRUE
114,Çoğu zaman başım sıkı bir çember içindeymiş gibi hissederim,Multiple choice,Evet,Hayır,TRUE
115,Ahirete inanırım,Multiple choice,Evet,Hayır,TRUE
116,Bahse girdiğim yarış ya da oyunlardan daha çok zevk alırım,Multiple choice,Evet,Hayır,TRUE
117,Bir çok kimseler daha çok yakalanmaktan korktukları için dürüsttürler,Multiple choice,Evet,Hayır,TRUE
118,Dersten kaçtığım için ara sıra müdüre gönderildiğim oldu,Multiple choice,Evet,Hayır,TRUE
119,"Konuşma tarzım her zamanki gibidir (Daha yavaş ya da hızlı değil, yayvanlaşmış ya da kısık değil)",Multiple choice,Evet,Hayır,TRUE
120,Evde sofra adabına dışarıdaki kadar dikkat etmem,Multiple choice,Evet,Hayır,TRUE
121,Aleyhimde bazı tertipler kurulduğuna inanıyorum,Multiple choice,Evet,Hayır,TRUE
122,Tanıdığım insanların çoğu kadar becerikli ve zeki olduğuma sanıyorum,Multiple choice,Evet,Hayır,TRUE
123,Beni takip edenler olduğuna inanıyorum,Multiple choice,Evet,Hayır,TRUE
124,Bir çokları kaybetmektense çıkarlarını korumak için pek doğru olmayan yollara başvururlar,Multiple choice,Evet,Hayır,TRUE
125,Midemden oldukça rahatsızım,Multiple choice,Evet,Hayır,TRUE
126,Tiyatrodan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
127,Dertlerimin çoğundan kimin sorumlu olduğunu biliyorum,Multiple choice,Evet,Hayır,TRUE
128,Kan görünce korkmam ya da fenalaşmam,Multiple choice,Evet,Hayır,TRUE
129,Bazen ters ve suratsız olurum,Multiple choice,Evet,Hayır,TRUE
130,Hiç bir zaman kan kusmadım ya da kan tükürmedim,Multiple choice,Evet,Hayır,TRUE
131,Hastalığa yakalanacağım diye kaygılanmam,Multiple choice,Evet,Hayır,TRUE
132,Çiçek koleksiyonu yapmayı ve evde çiçek yetiştirmeyi severim,Multiple choice,Evet,Hayır,TRUE
133,Hiç bir zaman normal olmayan cinsel ilişkilere girişmedim,Multiple choice,Evet,Hayır,TRUE
134,Bazen kafamdaki düşünceler o kadar hızlıdır ki söylemeyi yetiştiremem,Multiple choice,Evet,Hayır,TRUE
135,Fark edilmeyeceğimden emin olsam sinemaya biletsiz girerdim,Multiple choice,Evet,Hayır,TRUE
136,Bana iyilik yapan kimsenin genel olarak gizli bir amacı olabileceğini düşünürüm,Multiple choice,Evet,Hayır,TRUE
137,Aile hayatımın tanıdığım kimselerin çoğununki kadar iyi olduğuna inanıyorum,Multiple choice,Evet,Hayır,TRUE
138,Eleştiri beni çok kırar,Multiple choice,Evet,Hayır,TRUE
139,Bazen sanki kendimi ya da başkasını incitmek zorundaymışım gibi hissederim,Multiple choice,Evet,Hayır,TRUE
140,Yemek pişirmeyi severim 5,Multiple choice,Evet,Hayır,TRUE
141,Davranışlarımı çoğu zaman etrafımdakilere göre ayarlarım,Multiple choice,Evet,Hayır,TRUE
142,Bazen hiçbir işe yaramadığımı düşünürüm,Multiple choice,Evet,Hayır,TRUE
143,Çocukken başlarına ne gelirse gelsin aralarındaki birliği koruyan bir gruptaydım,Multiple choice,Evet,Hayır,TRUE
144,Asker olmak isterim,Multiple choice,Evet,Hayır,TRUE
145,Bazen biriyle yumruk yumruğa kavgaya girişmek istediğim olur,Multiple choice,Evet,Hayır,TRUE
146,Seyahat edip gezip tozmadıkça mutlu olmam,Multiple choice,Evet,Hayır,TRUE
147,Çabuk karar vermediğim için çok fırsat kaçırdım,Multiple choice,Evet,Hayır,TRUE
148,Önemli bir iş üzerinde çalışırken başkalarının işimi yarıda kesmeleri sabrımı taşırır,Multiple choice,Evet,Hayır,TRUE
149,Hatıra defteri tutardım,Multiple choice,Evet,Hayır,TRUE
150,Oyunda kaybetmektense kazanmayı isterim,Multiple choice,Evet,Hayır,TRUE
151,Biri beni zehirlemeye çalışıyor,Multiple choice,Evet,Hayır,TRUE
152,Çoğu geceler zihnimi hiçbir şey kurcalamadan uykuya dalarım,Multiple choice,Evet,Hayır,TRUE
153,Son birkaç yıl içinde sağlığım çoğu zaman iyiydi,Multiple choice,Evet,Hayır,TRUE
154,Hiç sinir nöbeti ya da havale geçirmedim,Multiple choice,Evet,Hayır,TRUE
155,Ne şişmanlıyorum ne de zayıflıyorum,Multiple choice,Evet,Hayır,TRUE
156,Bir şeyler yapıp sonra ne yaptığımı hatırlayamadığım zamanlar oldu,Multiple choice,Evet,Hayır,TRUE
157,Çoğu kez sebepsiz yere cezalandırıldım,Multiple choice,Evet,Hayır,TRUE
158,Çabuk ağlarım,Multiple choice,Evet,Hayır,TRUE
159,ŸOkuduğumu eskisi kadar iyi anlayamıyorum,Multiple choice,Evet,Hayır,TRUE
160,Hayatımda hiç bir zaman kendimi şimdiki kadar iyi hissetmedim,Multiple choice,Evet,Hayır,TRUE
161,Bazen başımda bir sizi hissederim,Multiple choice,Evet,Hayır,TRUE
162,Birisinin bana kurnazca oyun etmesine çok içerlerim,Multiple choice,Evet,Hayır,TRUE
163,Çabucak yorulmam,Multiple choice,Evet,Hayır,TRUE
164,Üzerinde çalıştığım konularda okumayı ve incelemelerde bulunmayı severim,Multiple choice,Evet,Hayır,TRUE
165,"Önemli kimseleri tanımayı severim, çünkü böylece kendimi de önemli bir kimse gibi görürüm",Multiple choice,Evet,Hayır,TRUE
166,Yüksek bir yerden aşağıya bakmaya korkarım,Multiple choice,Evet,Hayır,TRUE
167,Ailemden herhangi birinin mahkemelik olması beni rahatsız etmez,Multiple choice,Evet,Hayır,TRUE
168,Zihnimde bir gariplik var,Multiple choice,Evet,Hayır,TRUE
169,Parayı ellemekten korkmam,Multiple choice,Evet,Hayır,TRUE
170,Başkalarının hakkımda ne düşündükleri beni rahatsız etmez,Multiple choice,Evet,Hayır,TRUE
171,"Bir eğlencede başkaları yapsalar bile, ben taşkınlık yapmaktan rahatsız olurum",Multiple choice,Evet,Hayır,TRUE
172,Çoğu kez utangaçlığımı örtbas etmek ihtiyacını duyarım,Multiple choice,Evet,Hayır,TRUE
173,Okulu severdim,Multiple choice,Evet,Hayır,TRUE
174,Hiç bayılma nöbeti geçirmedim,Multiple choice,Evet,Hayır,TRUE
175,Pek az başım döner ya da hiç dönmez,Multiple choice,Evet,Hayır,TRUE
176,Yılandan büyük bir korkum yoktur,Multiple choice,Evet,Hayır,TRUE
177,Annem iyi bir kadındır,Multiple choice,Evet,Hayır,TRUE
178,Hafızam genellikle iyidir,Multiple choice,Evet,Hayır,TRUE
179,Cinsel konularda sıkıntım vardır,Multiple choice,Evet,Hayır,TRUE
180,Yeni tanıştığım kimselerle konuşma konusu bulmada güçlük çekerim,Multiple choice,Evet,Hayır,TRUE
181,Canım sıkıldıkça heyecan yaratmayı severim,Multiple choice,Evet,Hayır,TRUE
182,Aklımı oynatmaktan korkuyorum,Multiple choice,Evet,Hayır,TRUE
183,Dilencilere para vermeyi doğru bulmam,Multiple choice,Evet,Hayır,TRUE
184,Sık sık nereden geldiğini bilmediğim sesler duyarım,Multiple choice,Evet,Hayır,TRUE
185,Herkes kadar iyi işitirim,Multiple choice,Evet,Hayır,TRUE
186,Bir şeyler yapmağa girişince ellerimin çok defa titrediğini fark ederim,Multiple choice,Evet,Hayır,TRUE
187,Ellerimde beceriksizlik ya da sakarlık yok,Multiple choice,Evet,Hayır,TRUE
188,Gözlerim yorulmadan uzun süre okuyabilirim,Multiple choice,Evet,Hayır,TRUE
189,Çoğu zaman bütün vücudumda bir halsizlik duyarım 6,Multiple choice,Evet,Hayır,TRUE
190,Başım pek az ağrır,Multiple choice,Evet,Hayır,TRUE
191,Bazen utanınca çok terlerim,Multiple choice,Evet,Hayır,TRUE
192,Yürürken dengemi hemen hemen hiç kaybetmem,Multiple choice,Evet,Hayır,TRUE
193,Saman nezlesi ya da astım nöbetlerim yoktur,Multiple choice,Evet,Hayır,TRUE
194,Hareketlerimi ve konuşmamı kontrol edemediğim fakat etrafımda olup bitenden haberdar olduğum nöbetler geçirdiğim oldu,Multiple choice,Evet,Hayır,TRUE
195,Tanıdığım herkesi sevmem,Multiple choice,Evet,Hayır,TRUE
196,Hiç görmediğim yerlere gitmekten hoşlanırım,Multiple choice,Evet,Hayır,TRUE
197,Biri beni soymaya her şeyimi almaya çalışıyor,Multiple choice,Evet,Hayır,TRUE
198,Çok az hayal kurarım,Multiple choice,Evet,Hayır,TRUE
199,Çocuklara cinsiyetle ilgili temel gerçekler öğretilmelidir,Multiple choice,Evet,Hayır,TRUE
200,Fikir ve düşüncelerimi çalmak isteyen biri var,Multiple choice,Evet,Hayır,TRUE
201,Keşke bu kadar utangaç olmasam,Multiple choice,Evet,Hayır,TRUE
202,Kendimi cezayı hak etmiş suçlu bir insan olarak görüyorum,Multiple choice,Evet,Hayır,TRUE
203,Gazeteci olmak isterdim,Multiple choice,Evet,Hayır,TRUE
204,Gazeteci olmasaydım daha çok tiyatro haberleri yazmaktan hoşlanırdım,Multiple choice,Evet,Hayır,TRUE
205,Bazen çalmaktan ya da dükkanlardan eşya aşırmaktan kendimi alamam,Multiple choice,Evet,Hayır,TRUE
206,Bir çok kimseden daha dindarımdır,Multiple choice,Evet,Hayır,TRUE
207,Çeşitli oyun ve eğlencelerden hoşlanırım,Multiple choice,Evet,Hayır,TRUE
208,Flört etmeyi severim,Multiple choice,Evet,Hayır,TRUE
209,Günahlarımın affedilmeyeceğine inanıyorum,Multiple choice,Evet,Hayır,TRUE
210,Her şeyin tanı aynı geliyor,Multiple choice,Evet,Hayır,TRUE
211,Gündüzleri uyuyabilirim fakat gündüzleri uyuyamam,Multiple choice,Evet,Hayır,TRUE
212,Evdekiler bana çocuk muamelesi yapıyor,Multiple choice,Evet,Hayır,TRUE
213,Yürürken kaldırımdaki yarıklara basmamaya dikkat ederim,Multiple choice,Evet,Hayır,TRUE
214,Cildimde üzülmeye değer kabarıklık ya da sivilce yok,Multiple choice,Evet,Hayır,TRUE
215,Çok içki kullandım,Multiple choice,Evet,Hayır,TRUE
216,Başka ailelere göre bizim evde sevgi ve arkadaşlık pek azdır,Multiple choice,Evet,Hayır,TRUE
217,Sık sık kendime bir şeyleri dert edinirim,Multiple choice,Evet,Hayır,TRUE
218,Hayvanların eziyet çektiğini görmek beni üzmez,Multiple choice,Evet,Hayır,TRUE
219,İnşaat mütahitliğinden hoşlanacağımı sanıyorum,Multiple choice,Evet,Hayır,TRUE
220,Annemi çok severim,Multiple choice,Evet,Hayır,TRUE
221,Bilimden hoşlanırım,Multiple choice,Evet,Hayır,TRUE
222,Karşılığını veremeyeceğim durumlarda bile arkadaşlarımdan yardım istemekte güçlük çekmem,Multiple choice,Evet,Hayır,TRUE
223,Avlanmayı çok severim,Multiple choice,Evet,Hayır,TRUE
224,Annem babam hep beraber olduğum kimselerden çok defa hoşlanmıyorlar,Multiple choice,Evet,Hayır,TRUE
225,Bazen biraz dedikodu yaptığım olur,Multiple choice,Evet,Hayır,TRUE
226,Ailemdeki bazı kimselerde canımı çok sıkan alışkanlıklar var,Multiple choice,Evet,Hayır,TRUE
227,Uykuda gezdiğimi söylerler,Multiple choice,Evet,Hayır,TRUE
228,Bazen alışılmamış bir kolaylıkla karar verebileceğimi hissediyorum,Multiple choice,Evet,Hayır,TRUE
229,Çeşitli klüp ve derneklere üye olmak isterim,Multiple choice,Evet,Hayır,TRUE
230,Kalbimin hızlı çarptığını hemen hemen hiç hissetmem ve çok seyrek nefesim tıkanır,Multiple choice,Evet,Hayır,TRUE
231,Cinsiyet hakkında konuşmayı severim,Multiple choice,Evet,Hayır,TRUE
232,Bazen üzerime çok fazla iş alırım,Multiple choice,Evet,Hayır,TRUE
233,Pek çok insan karşı çıksa da kendi fikrimi sonuna kadar savunurum,Multiple choice,Evet,Hayır,TRUE
234,Çabuk kızar ve çabuk unuturum,Multiple choice,Evet,Hayır,TRUE
235,Aile kurallarından oldukça bağımsız ve özgürüm,Multiple choice,Evet,Hayır,TRUE
236,Sıklıkla kara kara düşünürüm 7,Multiple choice,Evet,Hayır,TRUE
237,Akrabalarımın hemen hepsi bana karşı anlayış gösterir,Multiple choice,Evet,Hayır,TRUE
238,Zaman zaman perimde duramayacak huzursuzluk duyduğum devreler olur,Multiple choice,Evet,Hayır,TRUE
239,Aşkta hayal kırıklığına uğradım,Multiple choice,Evet,Hayır,TRUE
240,Görünüşüme hiç aldırmam,Multiple choice,Evet,Hayır,TRUE
241,Kendi içimde tutup başkalarına söylenemeyen şeyler hakkında sık sık rüya görürüm,Multiple choice,Evet,Hayır,TRUE
242,Bir çoklarından daha sinirli sayılmam,Multiple choice,Evet,Hayır,TRUE
243,Hemen hemen hiç bir ağrı ve sızım yok,Multiple choice,Evet,Hayır,TRUE
244,Davranışlarım başkalarınca yanlış anlaşılmaya elverişlidir,Multiple choice,Evet,Hayır,TRUE
245,Ailem beni olduğumdan daha hatalı bulur,Multiple choice,Evet,Hayır,TRUE
246,Boynumda sık sık kırmızı lekeler olur,Multiple choice,Evet,Hayır,TRUE
247,Kimseden sevgi görmüyorum,Multiple choice,Evet,Hayır,TRUE
248,Bazen ortada hiç bir neden yokken hatta işler kötüye gittiği zaman bile kendimi fazlasıyla mutlu hissederim,Multiple choice,Evet,Hayır,TRUE
249,Öbür dünyada şeytan ve cehennem olduğuna inanırım,Multiple choice,Evet,Hayır,TRUE
250,Hayatta önüne her geleni kapmağa çalışan insanları suçlamam,Multiple choice,Evet,Hayır,TRUE
251,Kendimi kaybedip yaptığım işi aksattığım ve etrafımda olup bitenlerin farkında olmadığım zamanlar oldu,Multiple choice,Evet,Hayır,TRUE
252,Hiç kimse başkasının derdine aldırış etmiyor,Multiple choice,Evet,Hayır,TRUE
253,Hatalı davranışlarını görsem bile insanlara arkadaşça davranabilirim,Multiple choice,Evet,Hayır,TRUE
254,Birbiriyle şakalaşan kimseler arasında olmayı severim,Multiple choice,Evet,Hayır,TRUE
255,Seçimlerde bazen oyumu pek az tanıdığım kimselere veririm,Multiple choice,Evet,Hayır,TRUE
256,Gazetelerin ilgi çeken tek yeri resimli mizah sayfasıdır,Multiple choice,Evet,Hayır,TRUE
257,Yaptığım işlerde genel olarak başarı elde edeceğime inanırım,Multiple choice,Evet,Hayır,TRUE
258,Allah’ın varlığına inanırım,Multiple choice,Evet,Hayır,TRUE
259,İşe başlamada güçlük çekerim,Multiple choice,Evet,Hayır,TRUE
260,øOkulda iken ağır öğrenenlerden biri idim,Multiple choice,Evet,Hayır,TRUE
261,Ressam olsaydım çiçek resimleri yapardım,Multiple choice,Evet,Hayır,TRUE
262,Daha güzel olmamam beni rahatsız etmez,Multiple choice,Evet,Hayır,TRUE
263,Soğuk günlerde bile kolayca terlerim,Multiple choice,Evet,Hayır,TRUE
264,Kendime tam anlamıyla güvenim vardır,Multiple choice,Evet,Hayır,TRUE
265,Hiç kimseye güvenmemek en doğrusudur,Multiple choice,Evet,Hayır,TRUE
266,"Haftada bir ya da sık, çok heyecanlanırım",Multiple choice,Evet,Hayır,TRUE
267,Topluluk içinde olduğumda üzerinde konuşacak uygun konular bulmada güçlük çekerim,Multiple choice,Evet,Hayır,TRUE
268,Karamsar olduğum zaman heyecanlı bir olay hemen beni bu durumdan çıkarır,Multiple choice,Evet,Hayır,TRUE
269,Bazen zevk için başkalarını kendimden korkuturum,Multiple choice,Evet,Hayır,TRUE
270,Evden çıkarken kapının kilitli ve pencerenin kapalı olup olmadığı aklıma takılmaz,Multiple choice,Evet,Hayır,TRUE
271,Başkalarının saflığını kendi çıkarlarında kullanan kimseleri ayıplamam,Multiple choice,Evet,Hayır,TRUE
272,Bazen kendimi enerji dolu hissederim,Multiple choice,Evet,Hayır,TRUE
273,Derimin bazı yerlerinde uyuşukluk hissederim,Multiple choice,Evet,Hayır,TRUE
274,Görme gücüm eskisi kadar kuvvetlidir,Multiple choice,Evet,Hayır,TRUE
275,Birisi zihnimi kontrol ediyor,Multiple choice,Evet,Hayır,TRUE
276,Çocukları severim,Multiple choice,Evet,Hayır,TRUE
277,"Bazen bir madrabazın kurnazlığı beni o kadar eğlendirir ki, yakayı ele vermemesini dilerim",Multiple choice,Evet,Hayır,TRUE
278,Çok defa tanımadığım kimselerin bana eleştirici gözle baktıklarını hissederim,Multiple choice,Evet,Hayır,TRUE
279,Her gün gereğinden fazla su içerim,Multiple choice,Evet,Hayır,TRUE
280,Bir çok kimseler kendilerine yararı dokunacağı için arkadaş edinirler,Multiple choice,Evet,Hayır,TRUE
281,Kulaklarım çok az çınlar ya da uğuldar 8,Multiple choice,Evet,Hayır,TRUE
